"fit","lwr","upr","NBASalary","No.","Player","Pos.x","Ht","Wt","Birth.Date","Var.7","Exp","College","playerurls","Salary","Season","Age","Tm","Lg","Pos.y","G","GS","MP","FG","FGA","FGpct","ThreePt","ThreePtAttmpt","ThreePtpct","TwoPt","TwoPtAttmpt","TwoPtpct","eFGpct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","CareerG","CareerGS","CareerMP","CareerFG","CareerFGA","Career3P","Career3PA","Career2P","Career2PA","CareerFT","CareerFTA","CareerORB","CareerDRB","CareerTRB","CareerAST","CareerSTL","CareerBLK","CareerTOV","CareerPF","CareerPTS","Last2YrsG","Last2YrsGS","Last2YrsMP","Last2YrsFG","Last2YrsFGA","Last2Yrs3P","Last2Yrs3PA","Last2Yrs2P","Last2Yrs2PA","Last2YrsFT","Last2YrsFTA","Last2YrsORB","Last2YrsDRB","Last2YrsTRB","Last2YrsAST","Last2YrsSTL","Last2YrsBLK","Last2YrsTOV","Last2YrsPF","Last2YrsPTS","PlayoffSeason","PlayoffAge","PlayoffTm","PlayoffLg","PlayoffPos","PlayoffG","PlayoffGS","PlayoffMP","PlayoffFG","PlayoffFGA","PlayoffFGpct","Playoff3P","Playoff3PA","Playoff3Ppct","Playoff2P","Playoff2PA","Playoff2Ppct","PlayoffeFGpct","PlayoffFT","PlayoffFTA","PlayoffFTpct","PlayoffORB","PlayoffDRB","PlayoffTRB","PlayoffAST","PlayoffSTL","PlayoffBLK","PlayoffTOV","PlayoffPF","PlayoffPTS","CareerPlayoffG","CareerPlayoffGS","CareerPlayoffMP","CareerPlayoffFG","CareerPlayoffFGA","CareerPlayoff3P","CareerPlayoff3PA","CareerPlayoff2P","CareerPlayoff2PA","CareerPlayoffFT","CareerPlayoffFTA","CareerPlayoffORB","CareerPlayoffDRB","CareerPlayoffTRB","CareerPlayoffAST","CareerPlayoffSTL","CareerPlayoffBLK","CareerPlayoffTOV","CareerPlayoffPF","CareerPlayoffPTS","Year"
1466139.51607935,997433.244855273,1934845.78730343,980431,12,"Joe Harris","SG",6.5,219,"September 7, 1991","us",2,"University of Virginia","http://www.basketball-reference.com/players/h/harrijo01.html",980431,"2015-16",24,"CLE","NBA","SG",5,0,15,1,4,0.25,1,4,0.25,0,0,0,0.375,0,0,0,0,3,3,2,0,0,1,1,3,56,1,508,49,124,32,88,17,36,9,15,7,37,44,28,7,2,28,63,139,56,1,508,49,124,32,88,17,36,9,15,7,37,44,28,7,2,28,63,139,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,2,6,1,3,1,3,3,4,0,1,1,1,0,0,1,1,8,2016
2062252.26327681,1631625.08660302,2492879.43995059,1050961,23,"John Jenkins","SG",6.33333333333333,215,"March 6, 1991","us",4,"Vanderbilt University","http://www.basketball-reference.com/players/j/jenkijo01.html",1050961,"2015-16",24,"TOT","NBA","SG",43,3,480,71,160,0.444,16,51,0.314,55,109,0.505,0.494,20,24,0.833,8,49,57,35,8,1,27,22,178,141,8,1837,267,595,94,259,173,336,99,117,30,182,212,115,31,12,86,85,727,67,6,777,120,259,37,103,83,156,36,43,10,86,96,48,18,1,35,37,313,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,45,4,9,2,5,2,4,0,0,1,4,5,3,0,0,2,4,10,2016
977748.227459032,501174.285783867,1454322.1691342,874636,17,"Jonathon Simmons","SG",6.5,195,"September 14, 1989","us",1,"University of Houston","http://www.basketball-reference.com/players/s/simmojo02.html",874636,"2015-16",26,"SAS","NBA","SG",55,2,813,122,242,0.504,18,47,0.383,104,195,0.533,0.541,69,92,0.75,16,80,96,58,24,5,53,103,331,55,2,813,122,242,18,47,104,195,69,92,16,80,96,58,24,5,53,103,331,55,2,813,122,242,18,47,104,195,69,92,16,80,96,58,24,5,53,103,331,"2015-16",26,"SAS","NBA","SG",3,0,26,4,10,0.4,2,3,0.667,2,7,0.286,0.5,1,2,0.5,3,1,4,2,2,0,1,4,11,3,0,26,4,10,2,3,2,7,1,2,3,1,4,2,2,0,1,4,11,2016
5938340.10295973,5259532.28068389,6617147.92523557,12500000,6,"Jordan Clarkson","SG",6.41666666666667,194,"June 7, 1992","us",2,"University of Missouri","http://www.basketball-reference.com/players/c/clarkjo01.html",12500000,"2015-16",23,"LAL","NBA","SG",79,79,2552,475,1098,0.433,111,320,0.347,364,778,0.468,0.483,164,204,0.804,93,220,313,192,88,7,135,168,1225,138,117,4028,742,1694,149,441,593,1253,295,362,149,355,504,398,139,19,231,277,1928,138,117,4028,742,1694,149,441,593,1253,295,362,149,355,504,398,139,19,231,277,1928,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1204394.41840096,568333.97546438,1840454.86133753,874636,12,"Jordan McRae","SG",6.5,185,"March 28, 1991","us",1,"University of Tennessee","http://www.basketball-reference.com/players/m/mcraejo01.html",874636,"2015-16",24,"TOT","NBA","PG",22,1,195,34,78,0.436,10,22,0.455,24,56,0.429,0.5,21,28,0.75,4,16,20,25,3,1,15,17,99,22,1,195,34,78,10,22,24,56,21,28,4,16,20,25,3,1,15,17,99,22,1,195,34,78,10,22,24,56,21,28,4,16,20,25,3,1,15,17,99,"2015-16",24,"CLE","NBA","PG",2,0,4,4,4,1,1,1,1,3,3,1,1.125,0,0,0,0,2,2,0,0,0,0,0,9,2,0,4,4,4,1,1,3,3,0,0,0,2,2,0,0,0,0,0,9,2016
1540250.432803,1098328.31278257,1982172.55282343,874636,0,"Josh Richardson","SG",6.5,200,"September 15, 1993","us",1,"University of Tennessee","http://www.basketball-reference.com/players/r/richajo01.html",874636,"2015-16",22,"MIA","NBA","SG",52,2,1107,123,272,0.452,53,115,0.461,70,157,0.446,0.55,42,63,0.667,21,86,107,73,36,25,35,107,341,52,2,1107,123,272,53,115,70,157,42,63,21,86,107,73,36,25,35,107,341,52,2,1107,123,272,53,115,70,157,42,63,21,86,107,73,36,25,35,107,341,"2015-16",22,"MIA","NBA","SG",14,0,387,33,89,0.371,17,46,0.37,16,43,0.372,0.466,10,14,0.714,10,40,50,22,6,13,12,37,93,14,0,387,33,89,17,46,16,43,10,14,10,40,50,22,6,13,12,37,93,2016
8396861.94843508,7282255.76005304,9511468.13681713,12800000,5,"J.R. Smith","SG",6.5,225,"September 9, 1985","us",12,"","http://www.basketball-reference.com/players/s/smithjr01.html",12800000,"2015-16",30,"CLE","NBA","SG",77,77,2362,353,850,0.415,204,510,0.4,149,340,0.438,0.535,45,71,0.634,43,174,217,130,81,21,59,204,955,839,295,22543,3983,9413,1679,4476,2304,4937,1399,1907,448,2254,2702,1850,854,179,1193,1929,11044,147,128,4442,668,1605,367,936,301,669,99,143,73,362,435,325,163,43,156,367,1802,"2015-16",30,"CLE","NBA","SG",21,21,730,82,188,0.436,65,151,0.43,17,37,0.459,0.609,13,21,0.619,7,60,67,29,26,5,11,55,242,90,25,2641,397,994,204,579,193,415,139,195,43,276,319,146,91,28,105,249,1137,2016
1254913.10626465,733185.009633155,1776641.20289615,1015696,8,"Justin Holiday","SG",6.5,185,"April 5, 1989","us",3,"University of Washington","http://www.basketball-reference.com/players/h/holidju01.html",1015696,"2015-16",26,"TOT","NBA","SG",53,5,773,88,228,0.386,36,105,0.343,52,123,0.423,0.465,27,37,0.73,12,78,90,56,32,19,39,61,239,121,9,1572,195,511,75,230,120,281,70,90,24,153,177,119,75,37,77,122,535,112,9,1430,179,463,71,214,108,249,64,82,24,139,163,104,72,31,68,115,493,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,1,2,1,1,0,1,0,0,0,1,1,1,0,0,2,1,3,2016
6566112.08217656,5803348.46365163,7328875.7007015,3678319,5,"Kentavious Caldwell-Pope","SG",6.41666666666667,205,"February 18, 1993","us",3,"University of Georgia","http://www.basketball-reference.com/players/c/caldwke01.html",3678319,"2015-16",22,"DET","NBA","SG",76,76,2789,403,960,0.42,114,369,0.309,289,591,0.489,0.479,185,228,0.811,70,212,282,138,110,17,105,167,1105,238,199,6959,975,2392,326,998,649,1394,342,447,154,539,693,302,278,47,227,473,2618,158,158,5376,793,1932,267,813,526,1119,295,386,116,421,537,247,203,35,199,328,2148,"2015-16",22,"DET","NBA","SG",4,4,161,22,50,0.44,12,27,0.444,10,23,0.435,0.56,5,7,0.714,2,15,17,11,7,1,2,7,61,4,4,161,22,50,12,27,10,23,5,7,2,15,17,11,7,1,2,7,61,2016
7485177.77815122,6788238.81014529,8182116.74615715,15200000,22,"Khris Middleton","SG",6.66666666666667,234,"August 12, 1991","us",4,"Texas A&M University","http://www.basketball-reference.com/players/m/middlkh01.html",15200000,"2015-16",24,"MIL","NBA","SG",79,79,2852,507,1142,0.444,143,361,0.396,364,781,0.466,0.507,277,312,0.888,44,258,302,331,131,19,180,204,1434,267,201,8165,1351,3006,386,964,965,2042,556,637,156,853,1009,710,351,54,427,683,3644,158,137,5230,913,2011,252,629,661,1382,411,468,92,557,649,513,253,30,293,387,2489,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,232,35,92,11,34,24,58,14,15,7,15,22,12,14,3,10,14,95,2016
