"fit","lwr","upr","NBASalary","No.","Player","Pos.x","Ht","Wt","Birth.Date","X.","Exp","College","playerurls","Salary","Season","Age","Tm","Lg","Pos.y","G","GS","MP","FG","FGA","FGpct","ThreePt","ThreePtAttmpt","ThreePtpct","TwoPt","TwoPtAttmpt","TwoPtpct","eFGpct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","CareerG","CareerGS","CareerMP","CareerFG","CareerFGA","Career3P","Career3PA","Career2P","Career2PA","CareerFT","CareerFTA","CareerORB","CareerDRB","CareerTRB","CareerAST","CareerSTL","CareerBLK","CareerTOV","CareerPF","CareerPTS","PlayoffSeason","PlayoffAge","PlayoffTm","PlayoffLg","PlayoffPos","PlayoffG","PlayoffGS","PlayoffMP","PlayoffFG","PlayoffFGA","PlayoffFGpct","Playoff3P","Playoff3PA","Playoff3Ppct","Playoff2P","Playoff2PA","Playoff2Ppct","PlayoffeFGpct","PlayoffFT","PlayoffFTA","PlayoffFTpct","PlayoffORB","PlayoffDRB","PlayoffTRB","PlayoffAST","PlayoffSTL","PlayoffBLK","PlayoffTOV","PlayoffPF","PlayoffPTS","CareerPlayoffG","CareerPlayoffGS","CareerPlayoffMP","CareerPlayoffFG","CareerPlayoffFGA","CareerPlayoff3P","CareerPlayoff3PA","CareerPlayoff2P","CareerPlayoff2PA","CareerPlayoffFT","CareerPlayoffFTA","CareerPlayoffORB","CareerPlayoffDRB","CareerPlayoffTRB","CareerPlayoffAST","CareerPlayoffSTL","CareerPlayoffBLK","CareerPlayoffTOV","CareerPlayoffPF","CareerPlayoffPTS","Year"
3747940.35105511,3163521.42172721,4332359.28038301,5300000,17,"P.J. Tucker","SF",6.5,245,"May 5, 1985","us",5,"University of Texas at Austin","http://www.basketball-reference.com/players/t/tuckepj01.html",5300000,"2015-16",30,"PHO","NBA","SF",82,80,2540,239,582,0.411,68,206,0.33,171,376,0.455,0.469,106,142,0.746,165,347,512,177,106,20,111,202,652,337,269,9406,986,2259,251,719,735,1540,438,586,583,1333,1916,552,387,85,382,742,2661,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2937996.99393149,2027027.40878956,3848966.57907342,2255644,25,"Reggie Bullock","SF",6.58333333333333,205,"March 16, 1991","us",3,"University of North Carolina","http://www.basketball-reference.com/players/b/bullore01.html",2255644,"2015-16",24,"DET","NBA","SF",37,0,429,43,98,0.439,22,53,0.415,21,45,0.467,0.551,14,15,0.933,14,54,68,27,10,2,8,29,122,116,2,1162,110,289,59,172,51,117,27,33,26,146,172,47,29,7,29,74,306,"2015-16",24,"DET","NBA","SF",2,0,22,5,6,0.833,2,3,0.667,3,3,1,1,0,0,0,0,2,2,3,1,0,0,2,12,4,0,27,6,7,2,3,4,4,0,0,0,2,2,4,1,0,0,2,14,2016
5062389.18949777,3907057.4275736,6217720.95142195,2500000,24,"Richard Jefferson","SF",6.58333333333333,233,"June 21, 1980","us",15,"University of Arizona","http://www.basketball-reference.com/players/j/jefferi01.html",2500000,"2015-16",35,"CLE","NBA","SF",74,5,1326,143,312,0.458,66,173,0.382,77,139,0.554,0.564,58,87,0.667,15,113,128,59,33,14,43,129,410,1082,796,32516,4985,10732,978,2576,4007,8156,3478,4524,887,3613,4500,2319,759,336,1711,2473,14426,"2015-16",35,"CLE","NBA","SF",21,2,381,44,84,0.524,11,28,0.393,33,56,0.589,0.589,15,20,0.75,16,58,74,14,10,1,13,34,114,126,75,3659,519,1094,59,178,460,916,359,488,106,477,583,234,85,41,217,293,1456,2016
3947569.7079209,3170393.12407018,4724746.29177163,1015696,33,"Robert Covington","SF",6.75,215,"December 14, 1990","us",3,"Tennessee State University","http://www.basketball-reference.com/players/c/covinro01.html",1015696,"2015-16",25,"PHI","NBA","SF",67,49,1903,274,712,0.385,170,482,0.353,104,230,0.452,0.504,140,177,0.791,65,354,419,97,105,40,143,232,858,144,98,3893,579,1482,341,939,238,543,318,394,132,608,740,202,204,71,272,424,1817,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2904471.33320323,2332448.55318552,3476494.11322094,1395600,24,"Rondae Hollis-Jefferson","SF",6.58333333333333,220,"January 3, 1995","us",1,"University of Arizona","http://www.basketball-reference.com/players/h/holliro01.html",1395600,"2015-16",21,"BRK","NBA","SF",29,17,615,63,138,0.457,4,14,0.286,59,124,0.476,0.471,37,52,0.712,39,115,154,43,39,16,26,61,167,29,17,615,63,138,4,14,59,124,37,52,39,115,154,43,39,16,26,61,167,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
11889195.2799665,10673375.132439,13105015.4274939,13333333,8,"Rudy Gay","SF",6.66666666666667,230,"August 17, 1986","us",10,"University of Connecticut","http://www.basketball-reference.com/players/g/gayru01.html",13333333,"2015-16",29,"SAC","NBA","SF",70,70,2379,466,1007,0.463,74,215,0.344,392,792,0.495,0.5,198,254,0.78,103,353,456,120,100,51,139,184,1204,723,685,25802,5044,11156,750,2183,4294,8973,2460,3102,1082,3180,4262,1627,963,590,1742,1807,13298,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,279,48,114,4,19,44,95,33,40,10,36,46,10,9,2,21,15,133,2016
3518869.39663752,2673427.90343952,4364310.88983553,1720560,7,"Sam Dekker","SF",6.75,230,"May 6, 1994","us",1,"University of Wisconsin","http://www.basketball-reference.com/players/d/dekkesa01.html",1720560,"2015-16",21,"HOU","NBA","SF",3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2434701.64030701,1696802.01952976,3172601.26108425,3046299,15,"Shabazz Muhammad","SF",6.5,223,"November 13, 1992","us",3,"University of California, Los Angeles","http://www.basketball-reference.com/players/m/muhamsh01.html",3046299,"2015-16",23,"MIN","NBA","SF",82,0,1682,317,681,0.465,44,152,0.289,273,529,0.516,0.498,185,242,0.764,100,167,267,52,24,7,70,94,863,157,13,2838,568,1202,67,214,501,988,315,427,187,287,474,102,50,15,121,167,1518,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2474036.888577,1738660.41794924,3209413.35920476,11241218,44,"Solomon Hill","SF",6.58333333333333,225,"March 18, 1991","us",3,"University of Arizona","http://www.basketball-reference.com/players/h/hillso01.html",11241218,"2015-16",24,"IND","NBA","SF",59,3,866,93,208,0.447,24,74,0.324,69,134,0.515,0.505,36,42,0.857,39,127,166,57,37,11,33,68,246,169,81,3473,361,882,99,305,262,577,201,242,118,403,521,253,108,31,161,264,1022,"2015-16",24,"IND","NBA","SF",7,0,198,14,31,0.452,11,19,0.579,3,12,0.25,0.629,15,16,0.938,5,23,28,8,2,0,3,20,54,8,0,199,14,31,11,19,3,12,15,16,5,23,28,8,2,0,3,20,54,2016
4244090.55400441,3309336.84959715,5178844.25841168,2969880,7,"Stanley Johnson","SF",6.58333333333333,245,"May 29, 1996","us",1,"University of Arizona","http://www.basketball-reference.com/players/j/johnsst04.html",2969880,"2015-16",19,"DET","NBA","SF",73,6,1687,225,600,0.375,63,205,0.307,162,395,0.41,0.428,80,102,0.784,58,248,306,118,55,12,114,178,593,73,6,1687,225,600,63,205,162,395,80,102,58,248,306,118,55,12,114,178,593,"2015-16",19,"DET","NBA","SF",4,0,81,12,23,0.522,6,10,0.6,6,13,0.462,0.652,2,2,1,0,16,16,0,1,0,3,10,32,4,0,81,12,23,6,10,6,13,2,2,0,16,16,0,1,0,3,10,32,2016
3872738.55406989,3244549.64824224,4500927.45989753,1e+07,31,"Terrence Ross","SF",6.58333333333333,206,"February 5, 1991","us",4,"University of Washington","http://www.basketball-reference.com/players/r/rosste01.html",1e+07,"2015-16",24,"TOR","NBA","SF",73,7,1747,270,626,0.431,131,339,0.386,139,287,0.484,0.536,49,62,0.79,21,164,185,56,54,25,46,120,720,309,132,7237,1083,2587,502,1333,581,1254,205,258,131,676,807,274,214,91,251,561,2873,"2015-16",24,"TOR","NBA","SF",20,0,335,46,119,0.387,21,64,0.328,25,55,0.455,0.475,13,20,0.65,4,28,32,11,13,5,16,28,126,31,11,600,71,195,31,106,40,89,16,25,5,47,52,17,22,12,26,57,189,2016
2925000.22874255,2229634.42550994,3620366.03197517,3850000,25,"Thabo Sefolosha","SF",6.58333333333333,220,"May 2, 1984","ch",10,"","http://www.basketball-reference.com/players/s/sefolth01.html",3850000,"2015-16",31,"ATL","NBA","SF",75,11,1758,188,372,0.505,42,124,0.339,146,248,0.589,0.562,62,99,0.626,52,282,334,107,85,37,68,109,480,678,425,15615,1516,3390,391,1133,1125,2257,533,728,514,2091,2605,1004,720,306,627,1178,3956,"2015-16",31,"ATL","NBA","SF",10,2,203,22,46,0.478,7,19,0.368,15,27,0.556,0.554,8,15,0.533,8,33,41,17,10,6,10,17,59,88,69,1755,156,384,51,176,105,208,57,74,58,204,262,102,85,31,60,147,420,2016
3530768.63958995,2987915.15499838,4073622.12418151,2128920,12,"T.J. Warren","SF",6.66666666666667,230,"September 5, 1993","us",2,"North Carolina State University","http://www.basketball-reference.com/players/w/warretj01.html",2128920,"2015-16",22,"PHO","NBA","SF",47,4,1070,221,441,0.501,28,70,0.4,193,371,0.52,0.533,45,64,0.703,57,90,147,44,37,16,32,94,515,87,5,1684,334,655,33,91,301,564,59,83,98,134,232,69,55,25,59,145,760,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1884138.31416823,1501579.3215253,2266697.30681117,2368327,21,"Tony Snell","SF",6.58333333333333,200,"November 10, 1991","us",3,"University of New Mexico","http://www.basketball-reference.com/players/s/snellto01.html",2368327,"2015-16",24,"CHI","NBA","SF",64,33,1301,126,339,0.372,56,155,0.361,70,184,0.38,0.454,30,33,0.909,19,180,199,63,16,17,52,100,338,213,67,3944,414,1046,186,530,228,516,105,129,69,430,499,193,77,43,144,270,1119,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,186,17,53,9,32,8,21,4,4,1,22,23,8,1,4,6,18,47,2016
6923171.48377573,6136705.16666366,7709637.8008878,7806971,1,"Trevor Ariza","SF",6.66666666666667,215,"June 30, 1985","us",12,"University of California, Los Angeles","http://www.basketball-reference.com/players/a/arizatr01.html",7806971,"2015-16",30,"HOU","NBA","SF",81,81,2859,357,859,0.416,185,499,0.371,172,360,0.478,0.523,126,161,0.783,67,299,366,188,160,26,113,177,1025,795,494,22766,2973,6955,952,2704,2021,4251,1313,1835,873,2888,3761,1674,1179,262,1154,1624,8211,"2015-16",30,"HOU","NBA","SF",5,5,181,13,51,0.255,4,28,0.143,9,23,0.391,0.294,3,4,0.75,7,14,21,4,13,1,12,16,33,74,62,2298,279,633,113,289,166,344,117,167,83,301,384,147,106,21,99,198,788,2016
2868774.39437749,2162764.63537956,3574784.15337543,5628000,33,"Wesley Johnson","SF",6.58333333333333,215,"July 11, 1987","us",6,"Syracuse University","http://www.basketball-reference.com/players/j/johnswe01.html",5628000,"2015-16",28,"LAC","NBA","SF",80,9,1666,208,515,0.404,103,309,0.333,105,206,0.51,0.504,30,46,0.652,37,211,248,49,89,56,54,173,549,429,278,10642,1361,3332,500,1452,861,1880,296,396,270,1185,1455,538,349,298,434,876,3518,"2015-16",28,"LAC","NBA","SF",6,0,77,5,14,0.357,3,9,0.333,2,5,0.4,0.464,3,3,1,5,13,18,2,1,4,2,6,16,6,0,77,5,14,3,9,2,5,3,3,5,13,18,2,1,4,2,6,16,2016
