"fit","lwr","upr","NBASalary","No.","Player","Pos.x","Ht","Wt","Birth.Date","X.","Exp","College","playerurls","Salary","Season","Age","Tm","Lg","Pos.y","G","GS","MP","FG","FGA","FGpct","ThreePt","ThreePtAttmpt","ThreePtpct","TwoPt","TwoPtAttmpt","TwoPtpct","eFGpct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","CareerG","CareerGS","CareerMP","CareerFG","CareerFGA","Career3P","Career3PA","Career2P","Career2PA","CareerFT","CareerFTA","CareerORB","CareerDRB","CareerTRB","CareerAST","CareerSTL","CareerBLK","CareerTOV","CareerPF","CareerPTS","PlayoffSeason","PlayoffAge","PlayoffTm","PlayoffLg","PlayoffPos","PlayoffG","PlayoffGS","PlayoffMP","PlayoffFG","PlayoffFGA","PlayoffFGpct","Playoff3P","Playoff3PA","Playoff3Ppct","Playoff2P","Playoff2PA","Playoff2Ppct","PlayoffeFGpct","PlayoffFT","PlayoffFTA","PlayoffFTpct","PlayoffORB","PlayoffDRB","PlayoffTRB","PlayoffAST","PlayoffSTL","PlayoffBLK","PlayoffTOV","PlayoffPF","PlayoffPTS","CareerPlayoffG","CareerPlayoffGS","CareerPlayoffMP","CareerPlayoffFG","CareerPlayoffFGA","CareerPlayoff3P","CareerPlayoff3PA","CareerPlayoff2P","CareerPlayoff2PA","CareerPlayoffFT","CareerPlayoffFTA","CareerPlayoffORB","CareerPlayoffDRB","CareerPlayoffTRB","CareerPlayoffAST","CareerPlayoffSTL","CareerPlayoffBLK","CareerPlayoffTOV","CareerPlayoffPF","CareerPlayoffPTS","Year"
5171163.98840291,2894422.15467664,7447905.82212918,17145838,11,"Enes Kanter","C",6.91666666666667,245,"May 20, 1992","ch",5,"","http://www.basketball-reference.com/players/k/kanteen01.html",17145838,"2015-16",23,"OKC","NBA","C",82,1,1721,414,719,0.576,10,21,0.476,404,698,0.579,0.583,200,251,0.797,249,415,664,33,26,33,115,166,1038,373,114,7946,1638,3115,27,69,1611,3046,695,911,990,1525,2515,202,136,159,559,788,3998,"2015-16",23,"OKC","NBA","C",18,0,323,65,118,0.551,2,14,0.143,63,104,0.606,0.559,38,45,0.844,47,64,111,5,5,11,17,40,170,22,0,366,72,134,2,14,70,120,38,46,55,72,127,6,5,15,21,47,184,2016
3675785.73987152,2995428.33928014,4356143.1404629,7400000,31,"Festus Ezeli","C",6.91666666666667,255,"October 21, 1989","ng",3,"Vanderbilt University","http://www.basketball-reference.com/players/e/ezelife01.html",7400000,"2015-16",26,"GSW","NBA","C",46,13,770,125,228,0.548,0,0,0,125,228,0.548,0.548,70,132,0.53,91,166,257,32,18,50,38,94,320,170,61,2394,275,536,0,0,275,536,162,291,292,433,725,63,48,166,133,328,712,"2015-16",26,"GSW","NBA","C",23,1,203,37,69,0.536,0,0,0,37,69,0.536,0.536,19,44,0.432,23,38,61,8,1,7,14,34,93,55,4,520,70,132,0,0,70,132,47,94,60,93,153,16,5,24,38,83,187,2016
5836180.96931817,4394753.59962307,7277608.33901327,2730000,44,"Frank Kaminsky","C",7,242,"April 4, 1993","us",1,"University of Wisconsin","http://www.basketball-reference.com/players/k/kaminfr01.html",2730000,"2015-16",22,"CHO","NBA","C",81,3,1708,215,525,0.41,68,202,0.337,147,323,0.455,0.474,108,148,0.73,69,266,335,98,38,43,58,126,606,81,3,1708,215,525,68,202,147,323,108,148,69,266,335,98,38,43,58,126,606,"2015-16",22,"CHO","NBA","C",7,5,190,14,46,0.304,5,17,0.294,9,29,0.31,0.359,17,21,0.81,3,27,30,8,6,5,2,15,50,7,5,190,14,46,5,17,9,29,17,21,3,27,30,8,6,5,2,15,50,2016
10920476.4258765,10030068.2642741,11810884.5874789,17100000,15,"Greg Monroe","C",6.91666666666667,265,"June 4, 1990","us",6,"Georgetown University","http://www.basketball-reference.com/players/m/monrogr01.html",17100000,"2015-16",25,"MIL","NBA","C",79,67,2314,491,941,0.522,0,1,0,491,940,0.522,0.522,228,308,0.74,218,478,696,178,72,67,129,163,1210,457,401,14132,2642,5198,0,8,2642,5190,1337,1908,1426,2749,4175,1029,522,294,920,1082,6621,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
8383658.99309417,7499405.35724154,9267912.62894681,22116750,21,"Hassan Whiteside","C",7,265,"June 13, 1989","us",4,"Marshall University","http://www.basketball-reference.com/players/w/whiteha01.html",22116750,"2015-16",26,"MIA","NBA","C",73,43,2125,413,682,0.606,0,0,0,413,682,0.606,0.606,214,329,0.65,238,627,865,30,44,269,137,201,1040,140,75,3378,668,1096,0,0,668,1096,297,497,399,987,1386,36,74,407,200,344,1633,"2015-16",26,"MIA","NBA","C",10,10,291,47,69,0.681,0,0,0,47,69,0.681,0.681,26,44,0.591,26,83,109,3,8,28,13,34,120,10,10,291,47,69,0,0,47,69,26,44,26,83,109,3,8,28,13,34,120,2016
5810935.8543644,5243023.77010405,6378847.93862475,15944154,28,"Ian Mahinmi","C",6.91666666666667,250,"November 5, 1986","fr",8,"","http://www.basketball-reference.com/players/m/mahinia01.html",15944154,"2015-16",29,"IND","NBA","C",71,71,1816,264,448,0.589,0,0,0,264,448,0.589,0.589,132,225,0.587,138,369,507,104,65,75,100,220,660,438,92,7347,847,1581,0,6,847,1575,554,928,629,1268,1897,211,230,317,401,1117,2248,"2015-16",29,"IND","NBA","C",7,7,172,21,42,0.5,0,0,0,21,42,0.5,0.5,15,25,0.6,12,24,36,8,5,6,14,25,57,56,7,685,62,123,0,0,62,123,48,79,66,83,149,12,14,39,39,123,172,2016
5597518.42040338,4761157.65793847,6433879.18286828,4788840,8,"Jahlil Okafor","C",6.91666666666667,275,"December 15, 1995","us",1,"Duke University","http://www.basketball-reference.com/players/o/okafoja01.html",4788840,"2015-16",20,"PHI","NBA","C",53,48,1591,397,781,0.508,1,6,0.167,396,775,0.511,0.509,133,194,0.686,122,251,373,65,22,61,124,140,928,53,48,1591,397,781,1,6,396,775,133,194,122,251,373,65,22,61,124,140,928,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3127801.144147,2373600.80830827,3882001.47998573,5e+06,14,"Jason Smith","C",7,245,"March 2, 1986","us",8,"Colorado State University","http://www.basketball-reference.com/players/s/smithja02.html",5e+06,"2015-16",29,"ORL","NBA","C",76,2,1181,244,503,0.485,4,16,0.25,240,487,0.493,0.489,54,67,0.806,53,166,219,62,33,65,57,163,546,489,98,8486,1332,2857,34,116,1298,2741,481,613,558,1154,1712,388,181,334,420,1095,3179,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,140,15,33,0,1,15,32,4,4,5,17,22,4,3,5,2,16,34,2016
5637392.44502843,5042056.43435258,6232728.45570427,1403611,1,"JaVale McGee","C",7,270,"January 19, 1988","us",8,"University of Nevada, Reno","http://www.basketball-reference.com/players/m/mcgeeja01.html",1403611,"2015-16",28,"DAL","NBA","C",34,2,370,77,134,0.575,0,1,0,77,133,0.579,0.575,18,36,0.5,53,80,133,3,5,26,21,49,172,416,160,7977,1425,2628,1,6,1424,2622,543,931,833,1407,2240,138,163,711,438,954,3394,"2015-16",28,"DAL","NBA","C",2,0,14,1,2,0.5,0,0,0,1,2,0.5,0.5,2,6,0.333,2,1,3,0,1,0,3,3,4,15,2,307,42,86,0,0,42,86,23,50,42,59,101,5,10,28,18,41,107,2016
2541406.29116148,2048980.93659095,3033831.645732,1015696,24,"Jeff Withey","C",7,231,"March 7, 1990","us",3,"University of Kansas","http://www.basketball-reference.com/players/w/witheje01.html",1015696,"2015-16",25,"UTA","NBA","C",51,10,658,87,162,0.537,0,2,0,87,160,0.544,0.537,43,59,0.729,56,117,173,20,21,53,28,75,217,146,14,1601,188,355,0,3,188,352,129,182,128,259,387,57,40,121,60,174,505,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
