"fit","lwr","upr","NBASalary","No.","Player","Pos.x","Ht","Wt","Birth.Date","Var.7","Exp","College","playerurls","Salary","Season","Age","Tm","Lg","Pos.y","G","GS","MP","FG","FGA","FGpct","ThreePt","ThreePtAttmpt","ThreePtpct","TwoPt","TwoPtAttmpt","TwoPtpct","eFGpct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","CareerG","CareerGS","CareerMP","CareerFG","CareerFGA","Career3P","Career3PA","Career2P","Career2PA","CareerFT","CareerFTA","CareerORB","CareerDRB","CareerTRB","CareerAST","CareerSTL","CareerBLK","CareerTOV","CareerPF","CareerPTS","Last2YrsG","Last2YrsGS","Last2YrsMP","Last2YrsFG","Last2YrsFGA","Last2Yrs3P","Last2Yrs3PA","Last2Yrs2P","Last2Yrs2PA","Last2YrsFT","Last2YrsFTA","Last2YrsORB","Last2YrsDRB","Last2YrsTRB","Last2YrsAST","Last2YrsSTL","Last2YrsBLK","Last2YrsTOV","Last2YrsPF","Last2YrsPTS","PlayoffSeason","PlayoffAge","PlayoffTm","PlayoffLg","PlayoffPos","PlayoffG","PlayoffGS","PlayoffMP","PlayoffFG","PlayoffFGA","PlayoffFGpct","Playoff3P","Playoff3PA","Playoff3Ppct","Playoff2P","Playoff2PA","Playoff2Ppct","PlayoffeFGpct","PlayoffFT","PlayoffFTA","PlayoffFTpct","PlayoffORB","PlayoffDRB","PlayoffTRB","PlayoffAST","PlayoffSTL","PlayoffBLK","PlayoffTOV","PlayoffPF","PlayoffPTS","CareerPlayoffG","CareerPlayoffGS","CareerPlayoffMP","CareerPlayoffFG","CareerPlayoffFGA","CareerPlayoff3P","CareerPlayoff3PA","CareerPlayoff2P","CareerPlayoff2PA","CareerPlayoffFT","CareerPlayoffFTA","CareerPlayoffORB","CareerPlayoffDRB","CareerPlayoffTRB","CareerPlayoffAST","CareerPlayoffSTL","CareerPlayoffBLK","CareerPlayoffTOV","CareerPlayoffPF","CareerPlayoffPTS","Year"
1121118.03539332,554566.822635828,1687669.2481508,1050500,40,"Glenn Robinson III","SF",6.5,222,"January 8, 1994","us",2,"University of Michigan","http://www.basketball-reference.com/players/r/robingl02.html",1050500,"2015-16",22,"IND","NBA","SF",45,4,508,65,151,0.43,14,37,0.378,51,114,0.447,0.477,27,39,0.692,12,56,68,26,17,9,18,21,171,80,5,769,91,218,19,56,72,162,43,63,27,80,107,37,23,10,29,36,244,80,5,769,91,218,19,56,72,162,43,63,27,80,107,37,23,10,29,36,244,"2015-16",22,"IND","NBA","SF",4,0,10,3,4,0.75,0,0,0,3,4,0.75,0.75,1,1,1,0,0,0,0,0,1,0,0,7,4,0,10,3,4,0,0,3,4,1,1,0,0,0,0,0,1,0,0,7,2016
11240207.1376126,10338043.5712445,12142370.7039808,16073140,20,"Gordon Hayward","SF",6.66666666666667,226,"March 23, 1990","us",6,"Butler University","http://www.basketball-reference.com/players/h/haywago01.html",16073140,"2015-16",25,"UTA","NBA","SF",80,80,2893,521,1202,0.433,143,410,0.349,378,792,0.477,0.493,393,477,0.824,61,336,397,296,95,27,202,183,1578,443,335,13648,2176,4973,540,1499,1636,3474,1584,1943,328,1427,1755,1510,454,195,919,806,6476,156,156,5511,1005,2289,263,740,742,1549,768,939,115,655,770,609,203,57,408,314,3041,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,123,6,33,1,12,5,21,16,16,2,9,11,12,3,0,3,4,29,2016
6654511.59143855,5924379.80191515,7384643.38096195,22116750,40,"Harrison Barnes","SF",6.66666666666667,210,"May 30, 1992","us",4,"University of North Carolina","http://www.basketball-reference.com/players/b/barneha02.html",22116750,"2015-16",23,"GSW","NBA","SF",66,59,2042,295,633,0.466,82,214,0.383,213,419,0.508,0.531,102,134,0.761,77,248,325,117,41,10,57,136,774,307,246,8622,1158,2596,287,764,871,1832,484,655,313,1109,1422,447,219,63,313,580,3087,148,141,4360,611,1289,169,429,442,860,210,284,194,584,778,233,102,29,128,282,1601,"2015-16",23,"GSW","NBA","SF",24,23,743,82,213,0.385,26,76,0.342,56,137,0.409,0.446,26,34,0.765,27,85,112,30,17,4,18,46,216,64,56,2041,261,623,75,211,186,412,90,119,97,230,327,85,42,23,61,137,687,2016
3809949.30088082,2820374.35469407,4799524.24706756,5374320,12,"Jabari Parker","SF",6.66666666666667,250,"March 15, 1995","us",2,"Duke University","http://www.basketball-reference.com/players/p/parkeja01.html",5374320,"2015-16",20,"MIL","NBA","PF",76,72,2408,443,899,0.493,9,35,0.257,434,864,0.502,0.498,175,228,0.768,123,272,395,130,69,29,116,154,1070,101,97,3146,572,1162,13,51,559,1111,221,294,173,360,533,172,100,34,163,196,1378,101,97,3146,572,1162,13,51,559,1111,221,294,173,360,533,172,100,34,163,196,1378,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1891057.83301697,815906.630351868,2966209.03568206,6286408,99,"Jae Crowder","SF",6.5,235,"July 6, 1990","us",4,"Marquette University","http://www.basketball-reference.com/players/c/crowdja01.html",6286408,"2015-16",25,"BOS","NBA","SF",73,73,2308,360,813,0.443,122,363,0.336,238,450,0.529,0.518,196,239,0.82,70,303,373,135,126,35,83,198,1038,311,114,6562,860,2021,296,914,564,1107,398,514,223,824,1047,383,320,98,222,563,2414,155,90,3955,589,1358,183,571,406,787,305,380,142,524,666,229,198,60,132,335,1666,"2015-16",25,"BOS","NBA","SF",6,6,197,20,72,0.278,10,41,0.244,10,31,0.323,0.347,7,11,0.636,5,34,39,13,9,3,7,17,57,17,7,378,43,119,16,58,27,61,17,24,17,54,71,23,15,7,15,44,119,2016
2779577.03108616,2282045.99530867,3277108.06686365,2898000,8,"James Ennis","SF",6.58333333333333,210,"July 1, 1990","us",2,"California State University, Long Beach","http://www.basketball-reference.com/players/e/ennisja01.html",2898000,"2015-16",25,"TOT","NBA","SF",22,5,329,54,113,0.478,26,58,0.448,28,55,0.509,0.593,25,34,0.735,21,21,42,21,16,5,19,28,159,84,8,1380,155,360,57,153,98,207,104,128,72,146,218,69,41,22,58,117,471,84,8,1380,155,360,57,153,98,207,104,128,72,146,218,69,41,22,58,117,471,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3233163.70393824,2336290.71346136,4130036.69441511,1551659,1,"James Jones","SF",6.66666666666667,218,"October 4, 1980","us",13,"University of Miami","http://www.basketball-reference.com/players/j/jonesja02.html",1551659,"2015-16",35,"CLE","NBA","SF",48,0,463,58,142,0.408,41,104,0.394,17,38,0.447,0.553,21,26,0.808,8,42,50,14,11,10,13,50,178,661,91,10717,1161,2911,745,1871,416,1040,518,612,223,1016,1239,352,220,208,221,893,3585,105,2,1132,132,343,104,279,28,64,60,72,17,95,112,38,24,18,26,117,428,"2015-16",35,"CLE","NBA","SF",12,0,55,2,10,0.2,1,7,0.143,1,3,0.333,0.25,1,4,0.25,1,3,4,3,0,0,1,3,6,140,19,1952,172,423,104,266,68,157,98,116,39,188,227,44,37,37,38,175,546,2016
6869273.57977667,5966663.8724141,7771883.28713924,1.5e+07,34,"Jeff Green","SF",6.75,235,"August 28, 1986","us",8,"Georgetown University","http://www.basketball-reference.com/players/g/greenje02.html",1.5e+07,"2015-16",29,"TOT","NBA","SF",80,41,2253,354,824,0.43,67,213,0.315,287,611,0.47,0.47,164,220,0.745,74,258,332,138,58,40,93,164,939,636,473,20360,3277,7475,654,1929,2623,5546,1682,2140,653,2453,3106,1054,508,380,1063,1497,8890,158,111,4707,770,1791,164,505,606,1286,403,507,138,522,660,272,111,74,201,311,2107,"2015-16",29,"LAC","NBA","SF",6,1,159,21,46,0.457,4,10,0.4,17,36,0.472,0.5,15,25,0.6,3,16,19,4,6,2,3,12,61,38,15,1112,140,362,33,93,107,269,105,134,30,125,155,49,22,18,56,88,418,2016
3149332.57725123,2276391.46790128,4022273.68660117,980431,9,"Jerami Grant","SF",6.66666666666667,210,"March 12, 1994","us",2,"Syracuse University","http://www.basketball-reference.com/players/g/grantje01.html",980431,"2015-16",21,"PHI","NBA","SF",77,52,2066,251,599,0.419,35,146,0.24,216,453,0.477,0.448,212,322,0.658,99,262,361,135,54,127,110,215,749,142,63,3443,375,951,84,302,291,649,326,515,148,411,559,214,94,195,195,359,1160,142,63,3443,375,951,84,302,291,649,326,515,148,411,559,214,94,195,195,359,1160,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
11390406.2856262,10009080.3393627,12771732.2318897,17552209,21,"Jimmy Butler","SF",6.58333333333333,220,"September 14, 1989","us",5,"Marquette University","http://www.basketball-reference.com/players/b/butleji01.html",17552209,"2015-16",26,"CHI","NBA","SG",67,67,2474,470,1035,0.454,64,205,0.312,406,830,0.489,0.485,395,475,0.832,79,279,358,321,110,43,132,124,1399,323,219,10071,1437,3231,247,754,1190,2477,1271,1565,439,1012,1451,837,440,151,403,455,4392,132,132,4987,891,1947,137,398,754,1549,781,938,193,544,737,533,224,79,225,232,2700,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,1218,166,385,49,129,117,256,122,150,33,122,155,81,50,15,40,67,503,2016
