"fit","lwr","upr","NBASalary","No.","Player","Pos.x","Ht","Wt","Birth.Date","X.","Exp","College","playerurls","Salary","Season","Age","Tm","Lg","Pos.y","G","GS","MP","FG","FGA","FGpct","ThreePt","ThreePtAttmpt","ThreePtpct","TwoPt","TwoPtAttmpt","TwoPtpct","eFGpct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","CareerG","CareerGS","CareerMP","CareerFG","CareerFGA","Career3P","Career3PA","Career2P","Career2PA","CareerFT","CareerFTA","CareerORB","CareerDRB","CareerTRB","CareerAST","CareerSTL","CareerBLK","CareerTOV","CareerPF","CareerPTS","PlayoffSeason","PlayoffAge","PlayoffTm","PlayoffLg","PlayoffPos","PlayoffG","PlayoffGS","PlayoffMP","PlayoffFG","PlayoffFGA","PlayoffFGpct","Playoff3P","Playoff3PA","Playoff3Ppct","Playoff2P","Playoff2PA","Playoff2Ppct","PlayoffeFGpct","PlayoffFT","PlayoffFTA","PlayoffFTpct","PlayoffORB","PlayoffDRB","PlayoffTRB","PlayoffAST","PlayoffSTL","PlayoffBLK","PlayoffTOV","PlayoffPF","PlayoffPTS","CareerPlayoffG","CareerPlayoffGS","CareerPlayoffMP","CareerPlayoffFG","CareerPlayoffFGA","CareerPlayoff3P","CareerPlayoff3PA","CareerPlayoff2P","CareerPlayoff2PA","CareerPlayoffFT","CareerPlayoffFTA","CareerPlayoffORB","CareerPlayoffDRB","CareerPlayoffTRB","CareerPlayoffAST","CareerPlayoffSTL","CareerPlayoffBLK","CareerPlayoffTOV","CareerPlayoffPF","CareerPlayoffPTS","Year"
2391125.10097298,1840918.17748231,2941332.02446364,1577280,55,"Delon Wright","PG",6.41666666666667,183,"April 26, 1992","us",1,"University of Utah","http://www.basketball-reference.com/players/w/wrighde01.html",1577280,"2015-16",23,"TOR","NBA","PG",27,1,229,36,80,0.45,5,13,0.385,31,67,0.463,0.481,26,35,0.743,8,29,37,31,8,3,16,7,103,27,1,229,36,80,5,13,31,67,26,35,8,29,37,31,8,3,16,7,103,"2015-16",23,"TOR","NBA","PG",9,0,41,3,10,0.3,0,1,0,3,9,0.333,0.3,8,13,0.615,1,3,4,3,3,0,2,2,14,9,0,41,3,10,0,1,3,9,8,13,1,3,4,3,3,0,2,2,14,2016
3668723.29925805,3169951.98667906,4167494.61183704,2708582,17,"Dennis Schroder","PG",6.08333333333333,172,"September 15, 1993","de",3,"","http://www.basketball-reference.com/players/s/schrode01.html",2708582,"2015-16",22,"ATL","NBA","PG",80,6,1621,329,781,0.421,77,239,0.322,252,542,0.465,0.471,144,182,0.791,25,179,204,349,70,9,183,138,879,206,16,3778,685,1634,139,429,546,1205,321,404,59,369,428,759,136,13,394,319,1830,"2015-16",22,"ATL","NBA","PG",10,0,191,47,104,0.452,12,35,0.343,35,69,0.507,0.51,11,13,0.846,6,13,19,36,4,1,21,24,117,28,0,488,105,251,21,70,84,181,35,41,11,39,50,98,13,1,48,53,266,2016
11456445.7959741,10469737.5556289,12443154.0363193,9e+06,8,"Deron Williams","PG",6.25,200,"June 26, 1984","us",11,"University of Illinois at Urbana-Champaign","http://www.basketball-reference.com/players/w/willide01.html",9e+06,"2015-16",31,"DAL","NBA","PG",65,63,2106,321,775,0.414,97,282,0.344,224,493,0.454,0.477,179,206,0.869,19,171,190,378,61,14,150,155,918,781,727,27208,4611,10364,1093,3062,3518,7302,2788,3393,339,2133,2472,6459,836,198,2264,1994,13103,"2015-16",31,"DAL","NBA","PG",3,3,49,6,18,0.333,3,7,0.429,3,11,0.273,0.417,0,0,0,0,2,2,8,1,0,7,6,15,72,72,2740,446,1017,125,318,321,699,317,396,44,217,261,592,81,20,227,210,1334,2016
7608183.35165484,6700927.77885253,8515438.92445715,21323250,25,"Derrick Rose","PG",6.25,190,"October 4, 1988","us",7,"University of Memphis","http://www.basketball-reference.com/players/r/rosede01.html",21323250,"2015-16",27,"CHI","NBA","PG",66,66,2097,447,1048,0.427,44,150,0.293,403,898,0.449,0.448,142,179,0.793,46,179,225,311,44,14,175,84,1080,406,405,14210,3102,6920,350,1158,2752,5762,1447,1780,358,1131,1489,2516,328,155,1186,571,8001,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,1665,367,879,53,183,314,696,186,222,52,145,197,291,45,23,150,89,973,2016
6580025.61956672,6029517.08094699,7130534.15818645,4228000,34,"Devin Harris","PG",6.25,192,"February 27, 1983","us",12,"University of Wisconsin","http://www.basketball-reference.com/players/h/harride01.html",4228000,"2015-16",32,"DAL","NBA","PG",64,0,1280,167,374,0.447,52,158,0.329,115,216,0.532,0.516,101,140,0.721,18,120,138,118,60,13,66,124,487,781,445,20465,3031,6930,633,1954,2398,4976,2442,3074,255,1530,1785,3459,873,159,1493,1779,9137,"2015-16",32,"DAL","NBA","PG",5,0,121,15,30,0.5,4,13,0.308,11,17,0.647,0.567,5,10,0.5,1,13,14,8,3,0,3,16,39,64,31,1517,216,480,29,113,187,367,119,168,21,103,124,167,48,10,103,168,580,2016
3301600.83287688,2766184.75263315,3837016.91312061,7250000,14,"D.J. Augustin","PG",6,183,"November 10, 1987","us",8,"University of Texas at Austin","http://www.basketball-reference.com/players/a/augusdj01.html",7250000,"2015-16",28,"TOT","NBA","PG",62,0,1178,148,350,0.423,68,168,0.405,80,182,0.44,0.52,103,128,0.805,8,87,95,198,38,4,84,85,467,573,170,13852,1824,4510,701,1872,1123,2638,1249,1440,153,888,1041,2282,351,24,880,873,5598,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,530,53,160,28,80,25,80,47,56,7,20,27,44,11,1,23,46,181,2016
3275518.0759344,2632477.27826598,3918558.87360282,2613600,4,"Elfrid Payton","PG",6.33333333333333,185,"February 22, 1994","us",2,"University of Louisiana at Lafayette","http://www.basketball-reference.com/players/p/paytoel01.html",2613600,"2015-16",21,"ORL","NBA","PG",73,69,2145,318,730,0.436,30,92,0.326,288,638,0.451,0.456,112,190,0.589,77,184,261,468,89,20,177,159,778,155,132,4634,619,1438,41,134,578,1304,230,404,184,426,610,1001,231,40,380,352,1509,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
4470181.5072538,3916841.74488842,5023521.26961917,3241800,0,"Emmanuel Mudiay","PG",6.41666666666667,200,"March 5, 1996","cd",1,"","http://www.basketball-reference.com/players/m/mudiaem01.html",3241800,"2015-16",19,"DEN","NBA","PG",68,66,2068,329,905,0.364,74,232,0.319,255,673,0.379,0.404,140,209,0.67,32,200,232,372,65,35,217,141,872,68,66,2068,329,905,74,232,255,673,140,209,32,200,232,372,65,35,217,141,872,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
5681401.37168014,4883120.71426819,6479682.02909208,1.4e+07,2,"Eric Bledsoe","PG",6.08333333333333,190,"December 9, 1989","us",6,"University of Kentucky","http://www.basketball-reference.com/players/b/bledser01.html",1.4e+07,"2015-16",26,"PHO","NBA","PG",31,31,1059,223,492,0.453,48,129,0.372,175,363,0.482,0.502,138,172,0.802,18,107,125,190,63,19,110,75,632,352,190,9133,1464,3274,255,765,1209,2509,907,1161,285,978,1263,1506,491,173,905,663,4090,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,286,52,93,4,16,48,77,18,28,14,27,41,41,15,7,20,33,126,2016
5360072.12287805,4291041.04545228,6429103.20030381,8e+06,3,"George Hill","PG",6.25,188,"May 4, 1986","us",8,"Indiana University-Purdue University Indianapolis","http://www.basketball-reference.com/players/h/hillge01.html",8e+06,"2015-16",29,"IND","NBA","PG",74,73,2524,326,739,0.441,128,314,0.408,198,425,0.466,0.528,114,150,0.76,58,240,298,259,83,17,101,149,894,550,325,15813,2197,4884,652,1732,1545,3152,1164,1452,310,1447,1757,1799,505,165,704,1175,6210,"2015-16",29,"IND","NBA","PG",7,7,235,32,57,0.561,13,27,0.481,19,30,0.633,0.675,18,22,0.818,6,13,19,15,6,1,8,16,95,75,64,2562,314,720,108,291,206,429,227,279,46,205,251,204,85,17,116,163,963,2016
